family,workload_id,model,k_frac_deleted,mask_seed,retained_recall,coord_success,f1
a,c1-a-000,llama3.1:8b,1.0,2,0.0,0.0,0.44798952513801404
a,c1-a-001,llama3.1:8b,0.0,0,1.0,1.0,0.9996742246546781
a,c1-a-001,llama3.1:8b,0.0,1,1.0,1.0,0.9993484493093563
a,c1-a-001,llama3.1:8b,0.0,2,1.0,1.0,0.9993484493093563
a,c1-a-001,llama3.1:8b,0.15,0,0.8421052631578947,1.0,0.7905938421057265
a,c1-a-001,llama3.1:8b,0.15,1,0.8421052631578947,0.0,0.0
a,c1-a-001,llama3.1:8b,0.15,2,0.8421052631578947,0.0,0.6852690224125435
a,c1-a-001,llama3.1:8b,0.3,0,0.7105263157894737,0.0,0.6528242588394155
a,c1-a-001,llama3.1:8b,0.3,1,0.7105263157894737,0.0,0.5029058127124542
a,c1-a-001,llama3.1:8b,0.3,2,0.7105263157894737,0.0,0.4476564715322365
a,c1-a-001,llama3.1:8b,0.45,0,0.5526315789473685,0.0,0.28987727305829225
a,c1-a-001,llama3.1:8b,0.45,1,0.5526315789473685,0.0,0.2262189333028165
a,c1-a-001,llama3.1:8b,0.45,2,0.5526315789473685,0.0,0.4592960544971136
a,c1-a-001,llama3.1:8b,0.6,0,0.39473684210526316,0.0,0.5221853276919848
a,c1-a-001,llama3.1:8b,0.6,1,0.39473684210526316,0.0,0.0
a,c1-a-001,llama3.1:8b,0.6,2,0.39473684210526316,0.0,0.40060697248602134
a,c1-a-001,llama3.1:8b,0.75,0,0.2631578947368421,0.0,0.15151485535574666
a,c1-a-001,llama3.1:8b,0.75,1,0.2631578947368421,0.0,0.3677890644318945
a,c1-a-001,llama3.1:8b,0.75,2,0.2631578947368421,0.0,0.0
a,c1-a-001,llama3.1:8b,0.9,0,0.10526315789473684,0.0,0.5212635601903461
a,c1-a-001,llama3.1:8b,0.9,1,0.10526315789473684,0.0,0.0
a,c1-a-001,llama3.1:8b,0.9,2,0.10526315789473684,0.0,0.07932446264073695
a,c1-a-001,llama3.1:8b,1.0,0,0.0,0.0,0.0
a,c1-a-001,llama3.1:8b,1.0,1,0.0,0.0,0.0
a,c1-a-001,llama3.1:8b,1.0,2,0.0,0.0,0.0
a,c1-a-002,llama3.1:8b,0.0,0,1.0,1.0,0.9394836275242702
a,c1-a-002,llama3.1:8b,0.0,1,1.0,1.0,0.9997457295274129
a,c1-a-002,llama3.1:8b,0.0,2,1.0,1.0,0.9997457295274129
a,c1-a-002,llama3.1:8b,0.15,0,0.8604651162790697,0.0,0.7114513104181284
a,c1-a-002,llama3.1:8b,0.15,1,0.8604651162790697,0.0,0.6214788364851543
a,c1-a-002,llama3.1:8b,0.15,2,0.8604651162790697,1.0,0.7566546885340828
a,c1-a-002,llama3.1:8b,0.3,0,0.6976744186046512,1.0,0.7633677377326579
a,c1-a-002,llama3.1:8b,0.3,1,0.6976744186046512,0.0,0.636301351368315
a,c1-a-002,llama3.1:8b,0.3,2,0.6976744186046512,1.0,0.7672996586659564
a,c1-a-002,llama3.1:8b,0.45,0,0.5581395348837209,0.0,0.29737539490076176
a,c1-a-002,llama3.1:8b,0.45,1,0.5581395348837209,0.0,0.6165600860136237
a,c1-a-002,llama3.1:8b,0.45,2,0.5581395348837209,0.0,0.42222486605172493
a,c1-a-002,llama3.1:8b,0.6,0,0.3953488372093023,0.0,0.0
a,c1-a-002,llama3.1:8b,0.6,1,0.3953488372093023,0.0,0.0
a,c1-a-002,llama3.1:8b,0.6,2,0.3953488372093023,0.0,0.02198852772466542
a,c1-a-002,llama3.1:8b,0.75,0,0.2558139534883721,0.0,0.27783572276109575
a,c1-a-002,llama3.1:8b,0.75,1,0.2558139534883721,0.0,0.0
a,c1-a-002,llama3.1:8b,0.75,2,0.2558139534883721,0.0,0.23533899548461346
a,c1-a-002,llama3.1:8b,0.9,0,0.09302325581395349,0.0,0.12011991395487209
a,c1-a-002,llama3.1:8b,0.9,1,0.09302325581395349,0.0,0.3814057088806505
a,c1-a-002,llama3.1:8b,0.9,2,0.09302325581395349,0.0,0.1988527724665392
a,c1-a-002,llama3.1:8b,1.0,0,0.0,0.0,0.5789485168218587
a,c1-a-002,llama3.1:8b,1.0,1,0.0,0.0,0.5789485168218587
a,c1-a-002,llama3.1:8b,1.0,2,0.0,0.0,0.5789485168218587
a,c1-a-003,llama3.1:8b,0.0,0,1.0,1.0,0.8902416898819927
a,c1-a-003,llama3.1:8b,0.0,1,1.0,1.0,0.9996855860048042
a,c1-a-003,llama3.1:8b,0.0,2,1.0,1.0,0.9996855860048042
a,c1-a-003,llama3.1:8b,0.15,0,0.8421052631578947,0.0,0.6784983390261103
a,c1-a-003,llama3.1:8b,0.15,1,0.8421052631578947,0.0,0.49318699217534406
a,c1-a-003,llama3.1:8b,0.15,2,0.8421052631578947,1.0,0.877022432898402
a,c1-a-003,llama3.1:8b,0.3,0,0.7105263157894737,0.0,0.44115263746008143
a,c1-a-003,llama3.1:8b,0.3,1,0.7105263157894737,0.0,0.38004833507891905
a,c1-a-003,llama3.1:8b,0.3,2,0.7105263157894737,0.0,0.7096682559549979
a,c1-a-003,llama3.1:8b,0.45,0,0.5526315789473685,0.0,0.2938182143330793
a,c1-a-003,llama3.1:8b,0.45,1,0.5526315789473685,0.0,0.5350274581769751
a,c1-a-003,llama3.1:8b,0.45,2,0.5526315789473685,0.0,0.38029200748633774
a,c1-a-003,llama3.1:8b,0.6,0,0.39473684210526316,0.0,0.33671127719386
a,c1-a-003,llama3.1:8b,0.6,1,0.39473684210526316,0.0,0.31918250338009097
a,c1-a-003,llama3.1:8b,0.6,2,0.39473684210526316,0.0,0.3429007461771599
a,c1-a-003,llama3.1:8b,0.75,0,0.2631578947368421,0.0,0.3092421160237973
a,c1-a-003,llama3.1:8b,0.75,1,0.2631578947368421,0.0,0.08440913604766631
a,c1-a-003,llama3.1:8b,0.75,2,0.2631578947368421,0.0,0.07482487327804632
a,c1-a-003,llama3.1:8b,0.9,0,0.10526315789473684,0.0,0.4784518881831181
a,c1-a-003,llama3.1:8b,0.9,1,0.10526315789473684,0.0,0.0739821251241311
a,c1-a-003,llama3.1:8b,0.9,2,0.10526315789473684,0.0,0.15159470778363288
a,c1-a-003,llama3.1:8b,1.0,0,0.0,0.0,0.5229850618320256
a,c1-a-003,llama3.1:8b,1.0,1,0.0,0.0,0.39973477571529
a,c1-a-003,llama3.1:8b,1.0,2,0.0,0.0,0.39973477571529
a,c1-a-004,llama3.1:8b,0.0,0,1.0,1.0,0.9974864969028057
a,c1-a-004,llama3.1:8b,0.0,1,1.0,1.0,0.9974864969028057
a,c1-a-004,llama3.1:8b,0.0,2,1.0,1.0,0.9974864969028057
a,c1-a-004,llama3.1:8b,0.15,0,0.8478260869565217,0.0,0.0
a,c1-a-004,llama3.1:8b,0.15,1,0.8478260869565217,0.0,0.6716531939477097
a,c1-a-004,llama3.1:8b,0.15,2,0.8478260869565217,1.0,0.8533420185780872
a,c1-a-004,llama3.1:8b,0.3,0,0.6956521739130435,0.0,0.6537823838986327
a,c1-a-004,llama3.1:8b,0.3,1,0.6956521739130435,0.0,0.6325556638229213
a,c1-a-004,llama3.1:8b,0.3,2,0.6956521739130435,0.0,0.469026163942223
a,c1-a-004,llama3.1:8b,0.45,0,0.5434782608695652,0.0,0.29144181319118784
a,c1-a-004,llama3.1:8b,0.45,1,0.5434782608695652,0.0,0.6762020401203493
a,c1-a-004,llama3.1:8b,0.45,2,0.5434782608695652,0.0,0.09697732997481107
a,c1-a-004,llama3.1:8b,0.6,0,0.391304347826087,0.0,0.24496221662468515
a,c1-a-004,llama3.1:8b,0.6,1,0.391304347826087,0.0,0.0
a,c1-a-004,llama3.1:8b,0.6,2,0.391304347826087,0.0,0.2588423392836363
