compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,storage_bounded,8.0,P1,c1-a-024,0.037391304347826095,0.625,0.00015525,240.845760694532,17.055555555555557
lingua2,storage_bounded,8.0,P2,c1-a-024,0.0,0.625,0.00015414600000000002,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-024,0.8,0.625,0.00016794600000000003,4763.435866290354,1.0
lingua2,storage_bounded,8.0,P1,c1-a-025,0.07238095238095238,0.625,0.00015566400000000002,464.98196359435946,15.4
lingua2,storage_bounded,8.0,P2,c1-a-025,0.03571428571428571,0.625,0.00015442200000000003,231.2771866332887,1.0
lingua2,storage_bounded,8.0,P3,c1-a-025,0.41904761904761906,0.625,0.00016104600000000003,2602.036803445096,1.0
lingua2,storage_bounded,8.0,P1,c1-a-026,0.09049689440993788,0.625,0.00015428400000000003,586.5604625880704,15.736842105263158
lingua2,storage_bounded,8.0,P2,c1-a-026,0.0757142857142857,0.625,0.00015318000000000002,494.28310297875504,1.0
lingua2,storage_bounded,8.0,P3,c1-a-026,0.82,0.625,0.000166428,4927.055543538347,1.0
lingua2,storage_bounded,8.0,P1,c1-a-027,0.05383022774327122,0.625,0.000155388,346.42461286116827,15.3
lingua2,storage_bounded,8.0,P2,c1-a-027,0.03478260869565218,0.625,0.00015428400000000003,225.4453390866984,1.0
lingua2,storage_bounded,8.0,P3,c1-a-027,0.6347826086956522,0.625,0.00016435800000000003,3862.194774185936,1.0
lingua2,storage_bounded,8.0,P1,c1-a-028,0.01739130434782609,0.625,0.00015566400000000002,111.72335509704291,15.4
lingua2,storage_bounded,8.0,P2,c1-a-028,0.01739130434782609,0.625,0.00015483600000000002,112.32080619381854,1.0
lingua2,storage_bounded,8.0,P3,c1-a-028,0.6173913043478261,0.625,0.00016504800000000002,3740.6772838678808,1.0
lingua2,storage_bounded,8.0,P1,c1-a-029,0.05405797101449276,0.625,0.00015414600000000002,350.6933103323651,16.61111111111111
lingua2,storage_bounded,8.0,P2,c1-a-029,0.03666666666666667,0.625,0.00015304200000000002,239.58564751288316,1.0
lingua2,storage_bounded,8.0,P3,c1-a-029,0.8,0.625,0.00016656600000000002,4802.900952175113,1.0
